Temps,Altitude,Vitesse verticale,Acceleration verticale,Vitesse totale,Acceleration totale,Position contre le vent,Position parallele au vent,Distance laterale,Direction laterale,Vitesse laterale,Acceleration laterale,Latitude,Longitude,Acceleration Gravitationnelle,Angle d'attaque,Taux de roulis,Taux de tangage,Taux d'embardee,Masse,Masse du propergol,Moment d'inertie longitudinale,Moment d'inertie rotatif,Emplacement du CP,Emplacement du CG,Calibres marge de stabilite,Mach number,Nombre de Reynolds,Poussee,Force de trainee,Coefficient de trainee,Coefficient de trainee axiale,Coefficient de trainee de friction,Coefficient de trainee de pression,Coefficient de trainee de base,Coefficient de force normale,Coefficient de moment de tangage,Coefficient de moment d'embardee ,Coefficient de force laterale ,Coefficient de moment de roulis ,Coefficient de forcage de roulis,Coefficient d'amortissement de roulis,Coefficient d'amortissement de tangage,Acceleration de Coriolis,Longueur de reference,Surface de reference,Orientation verticale ,Orientation laterale ,Vitesse de vent,Temperature de l'air,Pression atmospherique,Vitesse du son,Pas de simulation du temps,Temps de calcul 
0.1,0.19518,4.7518,59.197,4.7518,59.197,0,0,0,0,0,0,46.66,6.43,9.8065,71.252,0,0,0,34692,6975.8,33.025,0.41406,NaN,260.79,NaN,0.043251,3785960,2394,0.15098,0.41686,0.029645,0.23772,0.058891,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7563e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,0.0011289
0.11,0.24566,5.3439,58.875,5.3439,58.875,0,0,0,0,0,0,46.66,6.43,9.8065,69.108,0,0,0,34679,6962.6,33.015,0.41401,NaN,260.76,NaN,0.043838,3837383,2382,0.20881,0.41686,0.039907,0.23772,0.058892,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.349e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,0.0011881
0.12,0.30205,5.9329,58.553,5.9329,58.553,0,0,0,0,0,0,46.66,6.43,9.8065,67.034,0,0,0,34665,6949.5,33.004,0.41396,NaN,260.73,NaN,0.044482,3893714,2370,0.27782,0.41687,0.051573,0.23772,0.058893,0.12026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9386e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,0.0012468
0.13,0.3643,6.5186,58.23,6.5186,58.23,0,0,0,0,0,0,46.66,6.43,9.8065,65.033,0,0,0,34652,6936.4,32.994,0.4139,NaN,260.69,NaN,0.045178,3954648,2358,0.35832,0.41688,0.064482,0.23772,0.058895,0.12027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5248e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,0.0014694
0.14,0.4324,7.1011,57.907,7.1011,57.907,0,0,0,0,0,0,46.66,6.43,9.8065,63.105,0,0,0,34639,6923.2,32.983,0.41385,NaN,260.66,NaN,0.045923,4019882,2346,0.45048,0.41689,0.078456,0.23772,0.058896,0.12027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1079e-4,22,380.13,90,0,NaN,17.382,1022.4,341.83,0.01,0.0015772
0.15,0.50631,7.6804,57.583,7.6804,57.583,0,0,0,0,0,0,46.66,6.43,9.8065,61.251,0,0,0,34626,6910.1,32.973,0.4138,NaN,260.63,NaN,0.046714,4089119,2334,0.55435,0.4169,0.093304,0.23772,0.058898,0.12028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6877e-4,22,380.13,90,0,NaN,17.381,1022.4,341.83,0.01,0.0016383
0.16,0.58599,8.2564,57.259,8.2564,57.259,0,0,0,0,0,0,46.66,6.43,9.8065,59.47,0,0,0,34613,6897,32.962,0.41374,NaN,260.59,NaN,0.047548,4162071,2322,0.66992,0.41691,0.10884,0.23771,0.0589,0.12029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2643e-4,22,380.13,90,0,NaN,17.381,1022.4,341.83,0.01,0.0016987
0.17,0.67142,8.8292,56.934,8.8292,56.934,0,0,0,0,0,0,46.66,6.43,9.8065,57.762,0,0,0,34600,6883.9,32.952,0.41369,NaN,260.56,NaN,0.04842,4238457,2310,0.7971,0.41692,0.12487,0.23771,0.058901,0.1203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8376e-4,22,380.13,90,0,NaN,17.381,1022.4,341.83,0.01,0.0017761
0.18,0.76256,9.3987,56.608,9.3987,56.608,0,0,0,0,0,0,46.66,6.43,9.8065,56.125,0,0,0,34587,6870.8,32.941,0.41364,NaN,260.53,NaN,0.049329,4318010,2298,0.93573,0.41693,0.14124,0.23771,0.058903,0.12032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4077e-4,22,380.13,90,0,NaN,17.381,1022.4,341.83,0.01,0.0018535
0.19,0.85938,9.965,56.282,9.965,56.282,0,0,0,0,0,0,46.66,6.43,9.8065,54.557,0,0,0,34574,6857.7,32.931,0.41358,NaN,260.49,NaN,0.050271,4400475,2286,1.0856,0.41694,0.15778,0.23771,0.058905,0.12033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9745e-4,22,380.13,90,0,NaN,17.381,1022.4,341.83,0.01,0.0019145
0.2,0.96185,10.528,56.053,10.528,56.053,0,0,0,0,0,0,46.66,6.43,9.8065,53.057,0,0,0,34561,6844.5,32.92,0.41353,NaN,260.46,NaN,0.051244,4485608,2277.4,1.2465,0.41695,0.17435,0.2377,0.058908,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010538,22,380.13,90,0,NaN,17.381,1022.4,341.83,0.01,0.002073
0.21,1.0699,11.089,55.92,11.089,55.92,0,0,0,0,0,0,46.66,6.43,9.8065,51.619,0,0,0,34548,6831.7,32.91,0.41348,NaN,260.43,NaN,0.052246,4573336,2272.1,1.4185,0.41697,0.19086,0.2377,0.05891,0.12035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011099,22,380.13,90,0,NaN,17.381,1022.4,341.83,0.01,0.0021556
0.22,1.1836,11.648,55.787,11.648,55.787,0,0,0,0,0,0,46.66,6.43,9.8065,50.239,0,0,0,34535,6819.3,32.9,0.41343,NaN,260.39,NaN,0.053278,4663615,2266.9,1.6015,0.41698,0.20724,0.2377,0.058912,0.12037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011659,22,380.13,90,0,NaN,17.38,1022.4,341.83,0.01,0.0022368
0.23,1.3029,12.206,55.653,12.206,55.653,0,0,0,0,0,0,46.66,6.43,9.8065,48.916,0,0,0,34523,6806.8,32.89,0.41338,NaN,260.36,NaN,0.054336,4756269,2261.6,1.7956,0.417,0.22338,0.2377,0.058915,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012218,22,380.13,90,0,NaN,17.38,1022.4,341.83,0.01,0.0023467
0.24,1.4277,12.763,55.518,12.763,55.518,0,0,0,0,0,0,46.66,6.43,9.8065,47.647,0,0,0,34510,6794.3,32.879,0.41332,NaN,260.33,NaN,0.05542,4851130,2256.4,2.0003,0.41701,0.23921,0.23769,0.058917,0.1204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012775,22,380.13,90,0,NaN,17.38,1022.3,341.83,0.01,0.0024077
0.25,1.5581,13.318,55.383,13.318,55.383,0,0,0,0,0,0,46.66,6.43,9.8065,46.43,0,0,0,34498,6781.8,32.869,0.41327,NaN,260.3,NaN,0.056528,4948042,2251.1,2.2156,0.41703,0.25468,0.23769,0.05892,0.12042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013331,22,380.13,90,0,NaN,17.38,1022.3,341.83,0.01,0.0024687
0.26,1.6941,13.872,55.248,13.872,55.248,0,0,0,0,0,0,46.66,6.43,9.8065,45.263,0,0,0,34485,6769.3,32.859,0.41322,NaN,260.27,NaN,0.057657,5046855,2245.9,2.4411,0.41704,0.26972,0.23769,0.058923,0.12043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013885,22,380.13,90,0,NaN,17.38,1022.3,341.83,0.01,0.0025515
0.27,1.8356,14.425,55.113,14.425,55.113,0,0,0,0,0,0,46.66,6.43,9.8065,44.144,0,0,0,34473,6756.8,32.849,0.41317,NaN,260.23,NaN,0.058806,5147432,2240.6,2.6766,0.41706,0.2843,0.23769,0.058926,0.12045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014439,22,380.13,90,0,NaN,17.379,1022.3,341.83,0.01,0.0026587
0.28,1.9826,14.976,54.977,14.976,54.977,0,0,0,0,0,0,46.66,6.43,9.8065,43.071,0,0,0,34460,6744.4,32.839,0.41312,NaN,260.2,NaN,0.059974,5249641,2235.4,2.922,0.41708,0.29839,0.23768,0.058929,0.12047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001499,22,380.13,90,0,NaN,17.379,1022.3,341.83,0.01,0.0027546
0.29,2.1351,15.526,54.84,15.526,54.84,0,0,0,0,0,0,46.66,6.43,9.8065,42.041,0,0,0,34448,6731.9,32.829,0.41307,NaN,260.17,NaN,0.061159,5353361,2230.1,3.1769,0.4171,0.31197,0.23768,0.058932,0.12049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015541,22,380.13,90,0,NaN,17.379,1022.3,341.83,0.01,0.002815
0.3,2.2931,16.075,54.704,16.075,54.704,0,0,0,0,0,0,46.66,6.43,9.8065,41.054,0,0,0,34435,6719.4,32.819,0.41302,NaN,260.14,NaN,0.06236,5458478,2224.9,3.441,0.41712,0.32502,0.23767,0.058935,0.12051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001609,22,380.13,90,0,NaN,17.379,1022.3,341.83,0.01,0.0028931
0.31,2.4566,16.622,54.567,16.622,54.567,0,0,0,0,0,0,46.66,6.43,9.8065,40.106,0,0,0,34423,6706.9,32.809,0.41297,NaN,260.11,NaN,0.063576,5564886,2219.6,3.7143,0.41714,0.33754,0.23767,0.058939,0.12053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016638,22,380.13,90,0,NaN,17.378,1022.3,341.83,0.01,0.0029682
0.32,2.6255,17.168,54.429,17.168,54.429,0,0,0,0,0,0,46.66,6.43,9.8065,39.197,0,0,0,34410,6694.4,32.799,0.41292,NaN,260.07,NaN,0.064805,5672485,2214.4,3.9963,0.41716,0.34952,0.23767,0.058942,0.12055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017184,22,380.13,90,0,NaN,17.378,1022.3,341.83,0.01,0.0030285
