Temps,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi
59.54,0.5380561461121081,0.6538499206148763,0.9973317064492767,0.023697631373361783,0.018314918204640485,0.7738682987023979,0.723417334468934,0.7873361642288865,0.587982289513799,0.7234332541739651,0.7873827630102667,0.5877444215356821,0.7234167700670433,0.787135297427596,0.5879341257261472,0.5014404830676966,0.7288613317481544,0.6954610798802565,0.4050979977544351,0.7428541316587962,0.6759921869386759,0.23865842021435313,0.7173726355386093,0.7062034675413724
59.56,0.5380561329049831,0.6533484621957263,0.9973317327369572,0.023717087503162815,0.018271654938253334,0.772267284460723,0.7233996561736904,0.7877719986475278,0.5903064265871933,0.7234132853228787,0.7876589912792026,0.5907060852921204,0.7234302633821198,0.7877203193617465,0.589884531254036,0.5745275884477294,0.7265356053451143,0.6950242742104273,0.12292466075586361,0.6835307336208729,0.6767784379827634,0.2646456985679535,0.7027570087525042,0.7000961417732826
59.58,0.5380561186930992,0.6528489705397018,0.9973317588615142,0.023736093987751006,0.018228518829758844,0.7706672145327017,0.723403252970788,0.7878354917113877,0.5903037170802549,0.7233916969100496,0.7873284222274742,0.5901026102946888,0.7234108128647704,0.7873872303803691,0.5899565648652108,0.5581332790836555,0.7273529286539392,0.694683830496126,0.18366751002657722,0.6829715971593404,0.6969319740215728,0.8526973924346386,0.7045073469473617,0.6950722162881814
59.6,0.5380561034843063,0.6523514866970301,0.997331784823848,0.023754647712648347,0.018185509059707505,0.7690680862715202,0.723393245004355,0.7883490618080382,0.5927366154050645,0.723376369134496,0.7879240413785444,0.5930571635839804,0.7233763489593144,0.7881336990361507,0.5925180949378743,0.574142406645656,0.7274485202076414,0.6943215868856845,0.18901849178648078,0.6969149538877584,0.6970288374856398,0.13228139681802276,0.7305620053603885,0.6898375757263285
59.62,0.5380560872865008,0.651856051209092,0.997331810624834,0.023772745588555966,0.018142624810870145,0.7674698970101252,0.7233858105496644,0.7883328747062671,0.5927489331478811,0.7234047671642537,0.7884946641524022,0.5931041234183487,0.7233918895295622,0.7879941295030907,0.5925341179299621,0.5862475589152609,0.7262229943679632,0.6944952035603509,0.22490972074822224,0.7072709747210458,0.6766200353560032,0.5890022248147844,0.721891250975362,0.6910428103043664
59.64,0.5380560701076252,0.6513627041082068,0.9973318362653384,0.023790384551440502,0.01809986526825158,0.7658726440617236,0.7233720409050182,0.7888538595965715,0.5953198261336763,0.7233809418046345,0.7885305795526335,0.5950667447366987,0.7233877250538973,0.7890400759458951,0.595307793168409,0.5641986907456413,0.7246628974318072,0.6943551572459873,0.7436178694740825,0.7299256120319692,0.6743132594266436,0.3757206928062722,0.6995842701204966,0.6820449104674311
59.66,0.5380560519556664,0.650871484920025,0.9973318617462354,0.023807561562622204,0.0180572296191005,0.7642763247202755,0.7233727391370589,0.7889336576587298,0.5952646061255256,0.7234142255732482,0.788556420821389,0.5952221048202809,0.7233922983543531,0.7886988697804758,0.594970247302076,0.4949961649366088,0.7261234256550164,0.6939707850986643,0.5776204500151767,0.7367530963770763,0.6997215301275662,0.1334723196736558,0.7302417148120355,0.7038627373216172
59.68,0.538056032838654,0.6503824326630864,0.997331887068417,0.023824273608869573,0.018014717052921347,0.7626809362609832,0.7233561388942643,0.7893975763944695,0.5977296888973571,0.7233453145927766,0.7891095441661318,0.5973857630120969,0.7233637709443671,0.7894385097528012,0.5972788126104709,0.5412308700002981,0.7253187059917803,0.6939761810879373,0.16762580462559384,0.6872762781979305,0.68792439470622,0.45030795248675126,0.7311606116674698,0.6858769381710896
59.7,0.5380560127646602,0.6498955858502319,0.9973319122327285,0.023840517702491848,0.017972326761487634,0.7610864759407688,0.7233567769618209,0.7894268599783536,0.5976112787441888,0.7233758335112199,0.7892883709303689,0.5977338167579924,0.7233417240675402,0.7896038994876731,0.5979687302147145,0.5536062987384511,0.7246129301229347,0.6932102368396457,0.251698769759642,0.7038599295382197,0.6812961939056514,0.6917575303865,0.7119028369569154,0.6885954955816711
59.72,0.5380559917417977,0.6494109824889224,0.9973319372400445,0.023856290881435482,0.017930057938852606,0.7594929409987539,0.7233493346832731,0.7899476844457705,0.6001169543735744,0.723360952498862,0.7901057967000147,0.5999525898482545,0.7233193692653879,0.7898570954371715,0.6002676797304689,0.516409150973125,0.7236325820972436,0.6931097500088335,0.550478959261552,0.7087005262924342,0.7022216675979653,0.8389389324790333,0.6878133674217517,0.6908300434498484
