  ECMWF värden 2014050312 +120h
  latitud, longitud:  67.90  21.10
  Rutans höjd över havet:  442m
  
      z     p    t      td   ddd   ff
  16269    89  -52.3  -85.1  288   2.2
  15925    93  -52.5  -84.9  274   1.8
  15584    98  -52.6  -84.6  267   1.8
  15247   104  -52.8  -84.3  270   1.8
  14912   109  -52.9  -84.1  279   1.5
  14581   115  -53.0  -83.8  290   1.2
  14253   121  -53.0  -83.5  302   1.0
  13928   127  -53.0  -83.2  315   0.9
  13606   134  -53.0  -83.0  334   0.7
  13287   141  -53.0  -82.7  359   0.6
  12971   148  -53.0  -82.4  351   0.8
  12658   155  -52.9  -82.1  325   1.0
  12348   163  -52.6  -81.8  309   1.0
  12040   171  -52.5  -81.4  293   0.6
  11735   179  -52.5  -80.9  204   0.4
  11433   187  -52.7  -80.4  166   1.0
  11134   196  -52.9  -79.8  167   1.3
  10838   205  -53.0  -78.9  183   1.3
  10546   215  -53.1  -77.8  193   1.6
  10256   225  -53.3  -76.3  174   1.6
   9969   235  -53.6  -74.7  142   1.8
   9685   246  -54.1  -73.0  120   2.2
   9404   257  -54.5  -71.0  129   2.5
   9127   268  -54.8  -68.7  137   3.6
   8852   280  -55.0  -66.4  127   4.6
   8579   292  -54.9  -64.0  124   4.8
   8309   305  -54.4  -61.9  134   5.9
   8040   318  -53.5  -60.4  129   7.3
   7772   331  -52.4  -58.1  124   7.7
   7505   345  -50.4  -54.1  125   7.7
   7237   360  -48.3  -51.4  129   7.7
   6969   375  -46.1  -49.8  130   7.3
   6701   390  -43.8  -47.3  131   7.1
   6432   406  -41.5  -44.8  132   6.9
   6163   422  -39.3  -43.3  133   7.1
   5894   439  -37.4  -43.0  135   7.7
   5624   457  -35.4  -43.5  139   8.5
   5355   475  -33.5  -42.8  142   9.0
   5086   493  -31.5  -41.4  142   9.0
   4818   512  -29.4  -39.7  142   8.9
   4553   531  -27.4  -38.3  142   8.7
   4293   551  -25.4  -36.8  144   8.3
   4037   570  -23.6  -35.5  148   7.7
   3788   590  -21.9  -34.4  152   7.1
   3546   610  -20.3  -33.4  157   6.4
   3311   629  -18.9  -32.5  163   5.7
   3086   649  -17.6  -32.0  172   5.3
   2869   668  -16.3  -31.4  179   5.3
   2662   686  -15.0  -30.7  183   5.5
   2464   705  -13.8  -30.2  185   5.8
   2276   722  -12.6  -29.9  185   6.1
   2098   739  -11.6  -29.5  187   6.3
   1930   756  -10.7  -29.1  190   6.5
   1771   771   -9.9  -28.6  194   6.7
   1622   786   -9.3  -28.0  199   7.1
   1483   801   -8.8  -27.7  203   7.7
   1353   814   -9.6  -19.4  195   7.1
   1232   827  -11.2  -13.0  180   6.5
   1120   839  -10.5  -11.7  175   6.6
   1016   851   -9.3  -11.4  175   6.6
    919   862   -8.3  -11.3  176   6.7
    829   872   -7.4  -11.1  175   6.7
    745   881   -6.5  -11.0  175   6.6
    668   890   -5.6  -10.8  175   6.5
    597   898   -4.9  -10.7  175   6.5
    531   906   -4.2  -10.6  174   6.4
    470   913   -3.5  -10.5  174   6.3
    414   919   -2.8  -10.4  174   6.2
    362   925   -2.3  -10.3  174   6.1
    315   931   -1.8  -10.2  174   6.0
    271   936   -1.3  -10.1  174   6.0
    231   940   -0.8  -10.0  174   5.9
    194   945   -0.4  -10.0  174   5.8
    161   949   -0.0   -9.8  174   5.7
    130   952    0.3   -9.8  174   5.6
    101   956    0.6   -9.7  174   5.5
     75   959    1.0   -9.6  174   5.3
     51   962    1.3   -9.5  173   5.1
     30   964    1.6   -9.4  173   4.8
     10   967    1.9   -9.3  173   4.4
