Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi,
97.04,10.267872024241147,-1.6268553337498297,-8.564270392805465,10.249573050958178,-1.6371850590321697,-8.500396882655098,10.25984280613065,-1.6980986705312953,-8.579584336661075,3.047063712506783,-1.2555948041525833,-2.2199079221331117,3.013997506643105,-1.262740103013868,-2.3126891626438812,3.053270504924455,-1.306454227005587,-2.2783021470829965,
97.06,10.259553141563293,-1.6242997426582728,-8.562266811736595,10.252586745196316,-1.6377198470262402,-8.492826672457547,10.258991298575374,-1.6890479736826838,-8.566191572903046,3.088079623874897,-1.2762990961404377,-2.277531757538387,3.045302492453375,-1.2973186675122912,-2.2592917385819145,3.0161043532956784,-1.2389042130060175,-2.231343906317785,
97.08,10.259606276925094,-1.7021181667239451,-8.540371316893713,10.248066632631502,-1.7156577711468022,-8.476252317334582,10.249143573093882,-1.7778148730667118,-8.556607703318381,3.0915343974322145,-1.2442445131116215,-2.241015150031028,3.0466120863254758,-1.3153875531388735,-2.2517377483296164,3.009049056156541,-1.234891817580062,-2.233433197106275,
97.1,10.256621367011489,-1.7001080585685784,-8.541191561733704,10.241298053549047,-1.7228213543718547,-8.480089974787878,10.24365961311919,-1.7744360167854376,-8.559821358961255,2.9887361196221853,-1.3320087637121312,-2.2161474694540058,3.022125484451525,-1.320121143912496,-2.2995908469197084,3.018913642126479,-1.3076913264385783,-2.25218700264881,
97.12,10.258875897939014,-1.7924168257983975,-8.533816641982668,10.235973959083893,-1.794722463784676,-8.479982959811544,10.239255274388148,-1.8555526573950412,-8.552183786848547,3.0011572252458807,-1.2458848708126193,-2.1663689034446394,3.0413201430103287,-1.2456359882311614,-2.229295639479018,3.051095965658033,-1.3204056492454819,-2.190545583486261,
97.14,10.257520476742382,-1.7911191640976802,-8.533455413949174,10.236391008933124,-1.7963971444214526,-8.467847582554125,10.238209655438595,-1.8543719357454511,-8.557004977845127,3.0953217258492525,-1.2324588666181777,-2.1759901239419643,2.9861084276962013,-1.2677139019515957,-2.205268888722764,3.0217086865007743,-1.3162341227213477,-2.171641622469388,
97.16,10.242192425388742,-1.8720975036301761,-8.547281636955493,10.235763299952492,-1.8772425854802701,-8.471409761974568,10.238678008771153,-1.9289154423601718,-8.557437821985156,2.983158415032255,-1.2711710802897127,-2.2405594429244635,3.0578487544398265,-1.333484536621774,-2.187166117758676,3.078196917486187,-1.3169959983137784,-2.2344124022493843,
97.18,10.249976813440002,-1.8605153791338984,-8.544747579090691,10.23529449303839,-1.8771303947846254,-8.473463223727709,10.23332826762479,-1.9395105375931037,-8.549808005664868,3.016905438851754,-1.328528578731642,-2.18400005469209,2.997516592901502,-1.2841609205520228,-2.2461956115678983,3.021645799675733,-1.3264624558729008,-2.1578971197102836,
97.2,10.232041555886202,-1.9393165943227322,-8.549232644054015,10.221501287788607,-1.9538795157954987,-8.486112767581902,10.221698129590957,-2.009192344303507,-8.561166866100791,3.068228236789474,-1.2752901125845713,-2.2177821277507492,3.0885921906363527,-1.258094401193499,-2.2624878809904634,3.0932009115564485,-1.2610501062496589,-2.180111202567536,
97.22,10.234031573005856,-1.9410723408086377,-8.546082669590241,10.222439929105752,-1.9552516918454184,-8.483803182284538,10.232240035155998,-2.0167165413068395,-8.557891384169492,3.0065612623242277,-1.3201588926233985,-2.221326615468811,3.071340440200099,-1.2456649085213836,-2.2078313036808885,3.0925614362023612,-1.3253639789543128,-2.1936295395405785,
