Temps	Position en z	Accélération en x avec g	Accélération en y avec g	Accélération en z avec g	Angle phi	Angle theta	Angle psi	
0,3	1,7981941140456892	-6,81728972058869e-17	-1,3673409100883578	125,83897169124926	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,32	2,2118595288838563	-6,817288834560857e-17	-1,3673407323781306	126,69092789163909	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,34	2,6719748182529885	-6,817287849042276e-17	-1,3673405347130865	127,53122303225175	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,36	3,1788727848350704	-6,817286763320117e-17	-1,3673403169502532	128,37297100838077	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,38	3,732886807021171	-6,817285576680322e-17	-1,3673400789464123	129,2161756038143	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,4	4,334350840411737	-6,817284288407589e-17	-1,3673398205580962	130,06084061551445	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,42	4,983590058392402	-6,817282897805433e-17	-1,3673395416456111	130,8597525372768	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,44	5,680920675239843	-6,817281404196557e-17	-1,367339242073112	131,65908794876788	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,46	6,42665927286382	-6,817279806902875e-17	-1,367338921704595	132,4598114372124	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,48	7,221146375490356	-6,817278105195018e-17	-1,3673385803937714	133,3799191644352	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,5	8,064746970027482	-6,817276298291227e-17	-1,3673382179838438	134,30440237970456	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,52	8,95656562194386	-6,817274388109424e-17	-1,3673378348594891	128,8669650711009	-3,01941960595019	1,4311699866353498	-4,985801031981232e-17	
0,54	9,89406055298941	-0,008488624464055808	-0,0434945319871507	121,64939970903353	-3,0194197401823666	1,4311698125737182	1,4996260774676819e-06	
0,56	10,874744102182499	-0,052601333392535754	-0,02221795821084542	116,4854373208713	-3,0194207045488417	1,431168561737274	1,2276402637250293e-05	
0,58	11,896687680234118	-0,11012794838632425	-0,04294372476957255	111,90141803591021	-3,0194233996187987	1,4311650646035878	4,24072605294238e-05	
0,6	12,95807940709865	-0,17195691140562896	-0,06837789307449055	107,32471329049541	-3,0194287837214744	1,4311580736596397	0,00010264243965034284	
0,62	14,058153490965994	-0,23746273671992946	-0,0989420353824492	108,01746390758518	-3,0194378603103402	1,4311462778414665	0,00020428187805686417	
0,64	15,197217825924835	-0,30655618834782344	-0,1351742089811096	108,87308214393407	-3,0194516733657824	1,4311283062638245	0,000359143950190311	
0,66	16,375611505578323	-0,37904485955067846	-0,1775797305743932	109,72871838579808	-3,0194713010081484	1,4311027339604823	0,0005795169516309483	
0,68	17,59364938797554	-0,4546110883915425	-0,22664268915837008	110,46223145526925	-3,019497847024222	1,4310680900023787	0,0008780901685915192	
0,7000000000000001	18,851621285405137	-0,5328428308976979	-0,2828212897093077	111,19134157083842	-3,0195324308474567	1,4310228672694234	0,001267870774623804	
0,72	20,149271597405537	-0,6131471460770404	-0,34640421141450356	109,17397876282668	-3,0195761748388734	1,4309655353879556	0,0017620735285419722	
0,74	21,48578137864849	-0,6945285627626847	-0,41749590978032863	107,05304846408008	-3,0196301855881207	1,430894561276366	0,00237394489530692	
0,76	22,860299483552815	-0,7760757133100562	-0,4961970692428373	104,87068259098207	-3,0196955368022365	1,4308084273784558	0,003116607142614929	
0,78	24,271949946648082	-0,8568677103256083	-0,582513449592528	102,6246603880633	-3,0197732524014174	1,4307056493687171	0,004002907038866833	
0,8	25,719842886399725	-0,9359103250721484	-0,6763441840239204	100,37215436534933	-3,0198642888733405	1,4305847945786885	0,005045258403652571	
0,8200000000000001	27,203525007770434	-1,0122623757846778	-0,7777020465323178	100,32859337731327	-3,019969518553861	1,4304444988047016	0,006255498742446197	
0,84	28,722997440041237	-1,085237590041531	-0,8866371446641295	100,3758971953127	-3,0200897167118192	1,4302834771751092	0,007644797503050811	
0,86	30,278278538966738	-1,153826123222175	-1,0029251897535885	100,42203892807682	-3,020225543950412	1,4301005405929628	0,009223516520630698	
0,88	31,86938608787903	-1,216843816052214	-1,1262075655475272	100,46698647897018	-3,0203775261368846	1,4298946148261706	0,011001047972243008	
0,9	33,496337278781404	-1,2730378278832177	-1,2559972725033335	100,5107091428091	-3,0205460334252487	1,4296647600848358	0,012985648528230897	
0,92	35,15868713838175	-1,320968079379351	-1,3912924731550897	98,2247206743642	-3,0207312571484297	1,4294101930911933	0,015184252337064713	
0,9400000000000001	36,85550776655306	-1,3588336051277086	-1,530760027682834	95,8249433439361	-3,020933182545504	1,4291303157054815	0,017602227274666937	
0,96	38,585848287291135	-1,3852182559081154	-1,6732321536403794	93,42090221552137	-3,0211515672944684	1,4288247354438683	0,02024320149653003	
0,98	40,34884239143817	-1,3989351298771278	-1,8175220680294697	91,4480901374655	-3,0213859235381793	1,4284932810613653	0,02310893284177272	
1,0	42,143712522680566	-1,3989631910362084	-1,9623588099948077	89,49361900122618	-3,0216355024031136	1,4281360146267654	0,026199208781030218	
1,02	43,96991870128219	-1,3844020726184125	-2,1065552309712436	88,7204269636425	-3,021899280303552	1,4277532414288452	0,029511765179223715	
1,04	45,827166113908945	-1,3546112493213442	-2,248915577986125	88,0075286137292	-3,0221759484273045	1,4273455148433367	0,03304224899534153	
1,06	47,71517113762824	-1,3089101304118536	-2,3879205136275528	87,29275661900621	-3,0224639025025852	1,4269136423952051	0,03678417029684753	
1,08	49,63364926650459	-1,2467327983811602	-2,5219567330328956	86,5761670214108	-3,0227612351004303	1,426458690345805	0,04072886646783577	
1,1	51,582315122480644	-1,167721499639252	-2,649353804517204	85,85782460893752	-3,0230657318914966	1,425981985173599	0,04486549251179221	
1,12	53,56128086664928	-1,0718274103766303	-2,7689556315769117	87,14870308286129	-3,0233748724903977	1,425485110341106	0,04918105148479052	
1,1400000000000001	55,57115672982748	-0,9593692728203208	-2,8798125473998257	88,95246041183738	-3,0236858345734388	1,424969896644654	0,05366048094938868	
1,16	57,61259301220172	-0,8306019297426599	-2,980350199678455	90,45079296868381	-3,023995499749257	1,4244384151508425	0,05828671551083636	
1,18	59,68617552583387	-0,6858662928247353	-3,0688098910420534	91,93017088382473	-3,024300464623703	1,423892970320065	0,06304074531392798	
1,2	61,79248621103015	-0,5257988157539322	-3,1435186145762124	93,41052454632492	-3,024597058770085	1,423336089161107	0,06790170687564462	
1,22	63,931694043443116	-0,35133406649737864	-3,202234709754342	92,80666517306	-3,0248813714789504	1,422770506790811	0,07284700202926642	
1,24	66,10352973215542	-0,16377705983134602	-3,2427562085244217	92,0685665834037	-3,0251492927380617	1,4221991476706026	0,07785244886514248	
1,26	68,30769731853626	0,03501597058301448	-3,2636658350956926	91,32911492281416	-3,0253965635711104	1,4216250979052154	0,08289250814997902	
1,28	70,54390007586743	0,24281152750579116	-3,2638095651712677	90,58837976338721	-3,025618834624737	1,4210515720393806	0,08794055507868709	
