Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,
28.38,5849.718917138566,6.318075644273989,-0.7893296389634085,-0.33754742563930573,-3.019244369330827,0.8380578940544398,1.4429134897392735,
28.4,5850.58391728169,6.3281721580152634,-0.8090375242767577,-0.3349025987664722,-3.019240336802493,0.8359642118169684,1.439989493783601,
28.42,5851.4449330536845,6.338221695489075,-0.8289115181016545,-0.3322582529365645,-3.0192365682697315,0.8338608346319553,1.4370517737590658,
28.44,5852.301965644755,6.348223529110485,-0.8489510218702561,-0.32961424539214323,-3.0192330692435787,0.8317477110915811,1.4341005588931157,
28.46,5853.155016243667,6.3581769492480715,-0.8691554020753642,-0.3269704339092734,-3.0192298452555404,0.829624789513687,1.4311360827180533,
28.48,5854.004086037757,6.368081265049571,-0.8895239899749177,-0.32432667691667166,-3.019226901855324,0.8274920179410766,1.42815858308277,
28.5,5854.849176212936,6.377935805220401,-0.9100560812851037,-0.32168283353486204,-3.019224244608498,0.82534934414088,1.4251683021632473,
28.52,5855.690287953699,6.387739918814843,-0.9307509358765439,-0.3190387636014635,-3.0192218790940895,0.8231967156039781,1.4221654864717832,
28.54,5856.527422443129,6.397492976099063,-0.9516077775093394,-0.31639432782015675,-3.019219810902114,0.8210340795444923,1.4191503868649167,
28.56,5857.360580862902,6.407194369323479,-0.9726257935511893,-0.3137493877772373,-3.019218045631036,0.818861382899344,1.4161232585500174,
28.58,5858.189764393296,6.416843513569708,-0.9938041347142034,-0.3111038060312617,-3.0192165888851648,0.8166785723278857,1.4130843610904982,
28.6,5859.014974213192,6.426439847554871,-1.0151419147968237,-0.3084574461313639,-3.01921544627199,0.8144855942116044,1.4100339584096238,
28.62,5859.836211500075,6.4359828344893195,-1.0366382104550336,-0.30581017277986006,-3.019214623399444,0.8122823946539081,1.4069723187928802,
28.64,5860.6534774300435,6.445471962916494,-1.0582920609691073,-0.303161851878446,-3.0192141258731064,0.8100689194799904,1.4038997148888672,
28.66,5861.466773177807,6.454906747506589,-1.0801024680131146,-0.3005123505259626,-3.0192139592933467,0.8078451142367812,1.4008164237086824,
28.68,5862.27609991669,6.464286729924412,-1.1020683954516821,-0.29786153717996017,-3.0192141292523975,0.8056109241929867,1.3977227266237617,
28.7,5863.081458818632,6.473611479652767,-1.1241887691447654,-0.2952092816732644,-3.019214641331373,0.8033662943392241,1.3946189093621475,
28.72,5863.882851054189,6.482880594882777,-1.1464624767754283,-0.2925554553890807,-3.0192155010972255,0.8011111693882488,1.3915052620031398,
28.74,5864.680277792531,6.492093703281719,-1.16888836765615,-0.2898999312002705,-3.0192167140996418,0.7988454937752822,1.3883820789703027,
28.76,5865.473740201447,6.501250462888514,-1.191465252587218,-0.28724258366380295,-3.0192182858678827,0.7965692116584482,1.3852496590228,
28.78,5866.263239447335,6.5103505629479965,-1.2141919037110576,-0.28458328907718355,-3.0192202219075672,0.7942822669193083,1.3821083052450094,
