Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,
75.9,2690.0948582875117,2.474802498494044,-0.6020176957131786,-10.188395010610847,-1.9195884948560382,-1.5499399942656609,-1.4201220753667883,
75.92,2688.715787766356,2.4692510128165375,-0.626781475611672,-10.188252591600548,-1.920117657458624,-1.5499750645048116,-1.429097866562581,
75.94,2687.3368081952367,2.4634477135075654,-0.6514865244303748,-10.188110217043954,-1.9206380565865082,-1.5500100842455367,-1.4380807094702652,
75.96,2685.9579195600645,2.45739347504491,-0.6761302449403522,-10.18796790976748,-1.9211496481717991,-1.550045052395352,-1.4470706424850273,
75.98,2684.579121846804,2.451089238347565,-0.7007100716881652,-10.187825690541194,-1.9216523894326922,-1.5500799678276218,-1.4560677030436908,
76.0,2683.200415041471,2.444535996065084,-0.7252234698883724,-10.187683580415607,-1.9221462388286827,-1.5501148293840958,-1.4650719276447646,
76.02,2681.8217991301353,2.4377347785699603,-0.7496679335092924,-10.187541597471279,-1.9226311559863956,-1.5501496358780198,-1.4740833518910565,
76.04,2680.443274098919,2.430686641217008,-0.7740409827662222,-10.187399757134676,-1.9231071016036334,-1.5501843860975726,-1.4831020105495412,
76.06,2679.064839934,2.423392653214727,-0.7983401612242437,-10.18725807419963,-1.92357403733931,-1.5502190788095356,-1.4921279376228602,
76.08,2677.686496621606,2.4158538883291794,-0.8225630327154418,-10.187116561629546,-1.9240319256967142,-1.5502537127629772,-1.501161166427114,
76.1,2676.308244148019,2.4080714175719917,-0.8467071782304116,-10.18697522697458,-1.9244807299068034,-1.5502882866928474,-1.5102017296708385,
76.12,2674.9300824995785,2.4000463039820636,-0.8707701929566772,-10.18683407987851,-1.924920413817499,-1.550322799323391,-1.5192496595305989,
76.14,2673.5520116626717,2.391779599354833,-0.8947496835971935,-10.18669312594942,-1.9253509417938743,-1.5503572493712707,-1.5283049877196473,
76.16,2672.1740316237424,2.383272342840541,-0.9186432660110413,-10.186552368562541,-1.9257722786331406,-1.5503916355483511,-1.537367745546237,
76.18,2670.7961423692877,2.374525561276423,-0.9424485633505997,-10.186411811328433,-1.9261843894970592,-1.550425956564147,-1.5464379639597423,
76.2,2669.418343885858,2.365540270937792,-0.9661632046111559,-10.18627145725949,-1.9265872398634012,-1.550460211127815,-1.5555156735830395,
76.22,2668.040636160058,2.356317480466456,-0.9897848237064175,-10.186131305417026,-1.9269807954969809,-1.5504943979498278,-1.5646009047306795,
76.24,2666.663019178545,2.346858194781966,-1.0133110590004917,-10.1859913585919,-1.9273650224398224,-1.5505285157431854,-1.5736936874129492,
76.26,2665.2854929280275,2.3371634195576227,-1.0367395532947121,-10.185851617234185,-1.9277398870192048,-1.5505625632243805,-1.5827940513267464,
76.28,2663.90805739527,2.3272341661033504,-1.0600679541989773,-10.185712081236359,-1.9281053558717307,-1.5505965391139533,-1.5919020258344638,
76.3,2662.530712567089,2.3170714563487462,-1.0832939148610594,-10.185572752020768,-1.9284613959809127,-1.5506304421368033,-1.601017639932774,
76.32,2661.153458432204,2.3049995845299516,-1.1055477121947457,-10.185446526965922,-1.9288094298704266,-1.5506642825008121,-1.6101397090843892,
76.34,2659.776294989862,2.2836353008584136,-1.1233617553236657,-10.18540742482074,-1.9291591482779986,-1.5506981359203278,-1.6192601579248491,
76.36,2658.399222255685,2.249252359940591,-1.135966313464165,-10.185574424198109,-1.9295332962049472,-1.5507321832438925,-1.6283600373947442,
76.38,2657.022240249732,2.212866565821785,-1.1481713398369635,-10.185981565683248,-1.929958230503168,-1.5507666399989521,-1.637417391707059,
76.4,2655.645348985821,2.1821094266571714,-1.1609332656943987,-10.18657883167519,-1.9304550754385283,-1.5508016900235977,-1.646414615385306,
