Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyrometre 1 phi,Gyrometre 1 theta,Gyrometre 1 psi,Magnetometre 1 F (en nT),Magnetometre 1 H (en nT),Magnetometre 1 X (en nT),Magnetometre 1 Y (en nT),Magnetometre 1 Z (en nT),Magnetometre 1 Declinaison (en deg),Magnetometre 1 Inclinaison (en deg),GPS 1 Latitude (en deg),GPS 1 Longitude (en deg),GPS 1 Altitude (en deg)
37.48,5847.897695140018,1.9282380073551368,-3.337134041578534,-0.3893473898081383,-3.0131601983528538,-0.8896107139918658,0.5095310247459122,3.291038030008836,2.604959658783183,1.0298667302020852,-3.048375880301691,1.2934570918090813,1.190083562294532,-0.3316739026190209,-0.0515927395543238,0.0219461404091361,53230.1,11564.8,11401.7,1935.4,51958.6,9.6,77.5,67.84689993433857,20.22434676493975,4943.754706529909
37.5,5846.982752368533,1.9637737092889305,-3.40980589185101,-0.3858376109671002,-3.01352543878201,-0.8907730275366437,0.502469987027391,3.292119318657172,2.5977691619747723,1.034574271097798,-3.0516559649421136,1.2337219879256596,1.2417252492168678,-0.3611433127852522,-0.0971991348713434,0.0673263709890992,53230.1,11564.8,11401.7,1935.4,51958.6,9.6,77.5,67.84689993433857,20.22434676493975,4943.754706529909
37.52,5846.064064276811,1.9988304440921103,-3.4862004262243502,-0.3822431345000128,-3.0139039286269167,-0.8919521477556539,0.4955836009841622,3.277537266127665,2.608967094397594,1.0208332382036405,-3.0004821826584127,1.2344743195373566,1.1527393728889326,-0.3646746661818876,-0.0875335456611079,-0.0182189771982701,53230.0,11564.8,11401.7,1935.4,51958.6,9.6,77.5,67.8468919377235,20.22434605637136,4946.761540712296
37.54,5845.141635397578,2.0332810958466103,-3.5662537184920486,-0.3785736746537329,-3.01429556800678,-0.8931492962072608,0.4888797222161343,3.273648653032805,2.6073742572161454,1.0281473250361322,-2.966977650167185,1.329776009029101,1.257901111447678,-0.3175643380665536,-0.0136034739973111,0.0132366144445717,53230.0,11564.8,11401.7,1935.4,51958.6,9.6,77.5,67.8468919377235,20.22434605637136,4946.761540712296
37.56,5844.215470145621,2.0670097945642816,-3.649888756286851,-0.3748405658643134,-3.014700227953079,-0.8943656648163141,0.4823659556249989,3.261945578178498,2.608024152472824,1.0252863019094005,-2.95242846819424,1.278493459593327,1.242815904776193,-0.2622732742140902,-0.0242222291569505,0.0304389964346297,53230.0,11564.8,11401.7,1935.4,51958.5,9.6,77.5,67.84688394453497,20.22434534810864,4949.76318999244
37.58,5843.285572811814,2.099912725035273,-3.7370154631887607,-0.3710567242228546,-3.015117750200297,-0.8956024130690575,0.4760496285138221,3.254600331198976,2.6181672057173957,1.0283710400206163,-3.036952614992193,1.2329867147935063,1.2258864307807398,-0.3448012555024398,-0.0129621721519149,0.0589069283662389,53230.0,11564.8,11401.7,1935.4,51958.5,9.6,77.5,67.84688394453497,20.22434534810864,4949.76318999244
37.6,5842.351947557244,2.131898829538083,-3.827530758435277,-0.367236594054562,-3.015547947058067,-0.896860665220241,0.469937763814906,3.2436134810782336,2.617880468531843,1.0199574686626078,-3.0224164845027683,1.3386558556764303,1.238128375020193,-0.2910956290583329,-0.0036539665245132,0.0213255443027657,53229.9,11564.8,11401.7,1935.4,51958.4,9.6,77.5,67.8468759547643,20.224344640150797,4952.759659358571
37.62,5841.414598407466,2.162890394285032,-3.9213186509436153,-0.3633960793718647,-3.0159906013593973,-0.8981415075236459,0.4640370535422823,3.2515024735143307,2.6143352742919244,1.0177532261963225,-2.9907047654236325,1.3205804481777983,1.1730017248334923,-0.3184737567588881,-0.1202193354685128,0.0551791101678609,53229.9,11564.8,11401.7,1935.4,51958.4,9.6,77.5,67.8468759547643,20.224344640150797,4952.759659358571
37.64,5840.47352924688,2.1928235103630964,-4.018250364463829,-0.3595524602632277,-3.016445466478753,-0.8994459854973519,0.4583538325658952,3.229939530266952,2.61919783721144,1.02126021676703,-2.971786491200996,1.2709205681247164,1.1553569003137012,-0.3305964991822695,-0.0087527041632045,0.0626664309263242,53229.8,11564.8,11401.7,1935.4,51958.4,9.6,77.5,67.84686796840288,20.224343932497018,4955.750953781248
37.66,5839.528743813295,2.221648401750487,-4.118184491320135,-0.3557242948216695,-3.016912266412969,-0.9007751012350668,0.4528940528052553,3.238918078643899,2.627950309242488,1.0181547448902442,-3.023167832297242,1.225547522847394,1.2212411213070875,-0.2070939568030056,-0.0175293175170699,0.0428879326428356,53229.8,11564.8,11401.7,1935.4,51958.4,9.6,77.5,67.84686796840288,20.224343932497018,4955.750953781248
37.68,5838.580245692637,2.2493296140666144,-4.220967172227,-0.3519313069164347,-3.017390695917313,-0.902129810774838,0.4476632579405293,3.225251299498803,2.623240620994145,1.0092337813431036,-3.026670288964296,1.2430965583774225,1.2620786165306013,-0.2270079383831469,-0.1186689930881312,-0.0014452683614358,53229.8,11564.8,11401.7,1935.4,51958.3,9.6,77.5,67.84685998544207,20.224343225146505,4958.737078213427
37.7,5837.628038313888,2.2758460585107,-4.326432300068871,-0.3481942602472924,-3.017880420688443,-0.9035110215363412,0.4426665587390777,3.221604024900328,2.629948177452445,1.0113413170675387,-3.037197006434198,1.3084313081986343,1.1569074985871397,-0.1853672720456953,-0.0338522116571654,0.1024838115990635,53229.8,11564.8,11401.7,1935.4,51958.3,9.6,77.5,67.84685998544207,20.224343225146505,4958.737078213427
37.72,5836.672124944221,2.30119090735946,-4.434401746362222,-0.3445348196264916,-3.0183810775855986,-0.9049195898377588,0.43790860909506,3.2117223320166324,2.632292368031703,1.0132294695708737,-2.9502476286086554,1.2296316827787477,1.2675496714572916,-0.2052247628766094,-0.1130225275366361,0.040297707007392,53229.7,11564.8,11401.7,1935.4,51958.2,9.6,77.5,67.8468520058733,20.224342518098467,4961.718037590541
37.74,5835.712508684365,2.325371339166403,-4.544685609823651,-0.3409754004729123,-3.0188922748810967,-0.9063563185030736,0.4333935828790835,3.214047547884939,2.630259116060145,1.0045039407058654,-2.971018285869961,1.3274554102580836,1.217273901389359,-0.1609940457785966,-0.0161974915328826,0.0912966599497354,53229.7,11564.8,11401.7,1935.4,51958.2,9.6,77.5,67.8468520058733,20.224342518098467,4961.718037590541
37.76,5834.749192464246,2.348408133149789,-4.65708248710271,-0.3375390076043451,-3.01941359253109,-0.9078219545702844,0.429125151694084,3.198014951556244,2.638741561574007,1.0059900959383237,-3.03642822433205,1.2752405397247195,1.235998956702461,-0.162150026888367,-0.0406799551709821,-0.0109990467448629,53229.6,11564.7,11401.7,1935.4,51958.2,9.6,77.5,67.84684402968801,20.224341811352108,4964.693836830565
37.78,5833.782179038875,2.370335114013082,-4.771379766628729,-0.3342490646207884,-3.019944582457609,-0.9093171871107408,0.4251064636324147,3.200587351342137,2.636038376179895,0.99927049912434,-3.036524078164204,1.219656869132721,1.258835801155515,-0.2266044640233425,-0.0950431900833326,0.025317298788246,53229.6,11564.7,11401.7,1935.4,51958.2,9.6,77.5,67.84684402968801,20.224341811352108,4964.693836830565
37.8,5832.811470984534,2.391198449531031,-4.887353947054269,-0.3311292350063133,-3.020484768833114,-0.9108426451693908,0.4213401231276597,3.1822593265768218,2.642925031717332,0.99371668624516,-3.0565922400738708,1.3258911182240156,1.2694840515180277,-0.1387330652405839,-0.1141636897709359,0.0196331436037311,53229.6,11564.7,11401.6,1935.4,51958.1,9.6,77.5,67.84683605687769,20.224341104906628,4967.664480834091
37.82,5831.837070695266,2.4110558064081267,-5.004770983558127,-0.3282032372200911,-3.021033648359197,-0.9123988958353112,0.4178281719929888,3.179882191778025,2.636961597188271,1.0023680565119657,-3.03584020260064,1.3345349169986445,1.2324157940675933,-0.1446343596927565,-0.0243943417452818,0.0202472981049378,53229.6,11564.7,11401.6,1935.4,51958.1,9.6,77.5,67.84683605687769,20.224341104906628,4967.664480834091
37.84,5830.858980379687,2.429975370122514,-5.123386664753182,-0.3254946546373584,-3.0215906905316143,-0.913986442451414,0.4145720717359214,3.176188157999845,2.6516680950534384,0.9901072127719864,-3.0092617126771883,1.2631747521967207,1.24344948868439,-0.1595048815598737,-0.0252841548975997,-0.0102757635511039,53229.5,11564.7,11401.6,1935.4,51958.0,9.6,77.5,67.84682808743383,20.22434039876124,4970.629974484398
37.86,5829.877202058124,2.4480347366126853,-5.24294702475952,-0.3230267426288713,-3.0221553378845667,-0.9156057229716732,0.4115726872369963,3.169837898808169,2.650845575359659,0.9918088049106588,-2.950786033200638,1.3224591226906912,1.2651363327064,-0.0892402146524869,-0.1229166230964028,0.0712439680664586,53229.5,11564.7,11401.6,1935.4,51958.0,9.6,77.5,67.84682808743383,20.22434039876124,4970.629974484398
37.88,5828.891737560113,2.4653196858604067,-5.363188795328482,-0.3208222346132364,-3.0227270062080387,-0.91725710847368,0.4088302718772444,3.164272252065926,2.6537733038027804,0.9962442245845026,-2.950273340944153,1.3033955156925998,1.2203148724891892,-0.1275588817872257,-0.0252364923542113,0.0011789325257756,53229.4,11564.7,11401.6,1935.4,51957.9,9.6,77.5,67.84682012134795,20.224339692915155,4973.590322647525
